DateTime,AddedIPs,RemovedIPs
1480552581,50,50
1480638033,49,49
1480726570,48,48
1480810337,48,48
1480899147,46,46
1480984230,45,45
1481069378,47,47
1481157200,48,48
1481242591,49,49
1481331381,48,48
1481416594,47,47
1481501328,48,48
1481590105,50,50
1481674824,49,49
1481763153,50,50
1481848357,49,49
1481936661,46,46
1482021385,45,45
1482106369,48,48
1482195659,49,49
1482280101,45,45
1482368666,42,42
1482453634,47,47
1482538127,46,46
1482970829,46,46
1482974650,48,48
1483063280,46,46
1483147948,47,47
1483236494,47,47
1483320984,49,49
1483409294,46,46
1483494259,46,46
1483579228,45,45
1483667782,47,47
1483752272,47,47
1490858174,50,50
1490916492,46,46
1491004895,42,42
1491090029,44,44
1491174499,44,44
1491263060,43,43
1491347350,44,44
1491436097,46,46
1491521067,47,47
1491609705,48,48
1491694354,45,45
1491779308,47,47
1491867853,48,48
1491952829,41,41
1492041406,47,47
1492126337,48,48
1492211543,47,47
1492300590,40,40
1492385783,48,48
1492470748,44,44
1492559066,45,45
1492643779,45,45
1492732358,47,47
1492817552,46,46
1492902519,40,40
1492991314,40,40
1493076263,47,47
1493163628,49,49
1493248588,48,48
1493337699,45,45
1493453540,47,47
1493514496,46,46
1493596357,42,42
1493681048,41,41
1493766078,44,44
1493854809,44,44
1493940250,46,46
1494025288,45,45
1494114013,45,45
1494198989,46,46
1494284531,44,44
1494373452,45,45
1494458626,48,48
1494543711,46,46
1494630273,45,45
1494716680,47,47
1494805934,43,43
1494891155,46,46
1494976123,47,47
1495064894,46,46
1495149850,45,45
1495238545,46,46
1495323155,49,49
1495409571,50,50
1495494753,45,45
1495583313,47,47
1495669954,46,46
1495754923,45,45
1495839868,45,45
1495928431,43,43
1496013376,41,41
1496098900,44,44
1496185707,47,47
1496274988,48,48
1496362114,44,44
1496447785,47,47
1496532492,48,48
1496621311,49,49
1496706022,46,46
1496791236,47,47
1496880123,46,46
1496964501,46,46
1497053312,49,49
1497138511,48,48
1497223235,47,47
1497312091,48,48
1497396754,47,47
1497485535,48,48
1497570269,47,47
1497655242,45,45
1497743549,45,45
1497828990,46,46
1497914911,48,48
1498003305,49,49
1498087938,45,45
1498176994,45,45
1498262521,45,45
1498347626,47,47
1498436192,45,45
1498519706,47,47
1498608742,49,49
1498693950,47,47
1498778669,49,49
1498867948,49,49
1498952906,46,46
1499040996,46,46
1499126896,50,50
1499212344,48,48
1499297064,47,47
1499386116,48,48
1499471296,49,49
1499556030,47,47
1499645075,48,48
1499729548,50,50
1499818582,49,49
1499901856,49,49
1499990918,47,47
1500075383,46,46
1500163937,43,43
1500249387,27,27
1500334589,32,32
1500423392,35,35
1500508348,31,31
1500593297,27,27
1500682095,24,24
1500767309,25,25
1500852026,29,29
1500940573,33,33
1501025771,31,31
1501114343,43,43
1501200279,48,48
1501285713,46,46
1501372652,50,50
1501458518,47,47
1501546834,47,47
1501632277,48,48
1501717230,46,46
1501805797,50,50
1501890758,49,49
1501976199,46,46
1502064986,47,47
1502149712,48,48
1502235151,49,49
1502324198,45,45
1502409693,49,49
1502495065,47,47
1502583627,47,47
1502669072,47,47
1502754264,49,49
1502840194,50,50
1502928989,47,47
1503013953,48,48
1503099388,50,50
1503187947,48,48
1503272911,49,49
1503361454,49,49
1503446427,45,45
1503530896,48,48
1503678013,48,48
1503697215,49,49
1503782171,48,48
1503871269,48,48
1503956658,49,49
1504041616,48,48
1504107384,48,48
1504115055,48,48
1504130421,48,48
1504214901,49,49
1504299854,49,49
1504388171,49,49
1504475534,50,50
1504560257,49,49
1504645233,45,45
1504734498,46,46
1504819456,45,45
1504908261,46,46
1504992968,46,46
1505077697,47,47
1505166735,47,47
1505252655,45,45
1505338097,42,42
1505426658,44,44
1505511853,47,47
1505597292,49,49
1505685632,46,46
1505771054,42,42
1505856018,41,41
1505941937,44,44
1506030971,48,48
1506115454,50,50
1506200899,46,46
1506289936,46,46
1506374656,47,47
1506459856,46,46
1506548657,47,47
1506633380,43,43
1506722174,42,42
1506806654,49,49
1506895463,45,45
1506980647,41,41
1507066806,46,46
1507152977,47,47
1507239614,46,46
1507326256,48,48
1507410979,42,42
1507499534,47,47
1507585212,41,41
1507670173,40,40
1507759224,39,39
1507844658,45,45
1507930099,46,46
1508016015,45,45
1508104826,43,43
1508189779,48,48
1508275693,49,49
1508360921,49,49
1508450441,44,44
1508535372,45,45
1508620813,46,46
1508706036,45,45
1508796026,45,45
1508882179,43,43
1508967141,44,44
1509052337,40,40
1509138731,44,44
1509228421,47,47
1509313696,41,41
1509398427,45,45
1509483640,47,47
1509573370,41,41
1509658820,40,40
1509743771,48,48
1509832088,48,48
1509917053,45,45
1510002970,46,46
1510091539,43,43
1510176493,40,40
1510263140,40,40
1510349296,46,46
1510437854,43,43
1510523290,41,41
1510608499,45,45
1510694178,44,44
1510783465,43,43
1510868656,40,40
1510956964,38,38
1511041461,38,38
1511126896,43,43
1511215453,45,45
1511301138,45,45
1511385850,44,44
1511472255,45,45
1511561064,44,44
1511645532,44,44
1511730250,44,44
1511819528,47,47
1511904979,45,45
1511990409,44,44
1512076579,44,44
1512165858,40,40
1512251055,38,38
1512336009,31,31
1512421457,36,36
1512510496,36,36
1512602456,35,35
1512680657,40,40
1512767535,42,42
1512856810,36,36
1512942258,38,38
1513029373,42,42
1513114098,39,39
1513199530,33,33
1513289540,34,34
1513371860,35,35
1513461609,36,36
1513547287,37,37
1513632498,41,41
1513717695,42,42
1513804332,40,40
1513891216,45,45
1513980256,35,35
1514065453,36,36
1514150691,35,35
1514239449,31,31
1514324908,36,36
1514411534,42,42
1514497698,40,40
1514583136,40,40
1514669775,39,39
1514754728,31,31
1514841132,27,27
1514930423,33,33
1515016574,38,38
1515101299,41,41
1515186261,43,43
1515275769,42,42
1515360742,44,44
1515446896,45,45
1515534502,44,44
1515620418,42,42
1515707059,42,42
1515792012,44,44
1515877939,29,29
1515966503,36,36
1516052170,45,45
1516137385,43,43
1516223288,43,43
1516309458,43,43
1516396582,43,43
1516485861,38,38
1516570336,37,37
1516655050,37,37
1516743860,45,45
1516829294,44,44
1516917857,46,46
1517003532,41,41
1517088492,44,44
1517177055,43,43
1517262257,45,45
1517347693,49,49
1517436263,45,45
1517522172,46,46
1517607140,42,42
1517693537,41,41
1517779692,43,43
1517864892,42,42
1517953456,45,45
1518038413,43,43
1518127698,44,44
1518210738,42,42
1518297377,41,41
1518384499,41,41
1518470894,44,44
1518557778,43,43
1518644900,44,44
1518728897,46,46
1518816737,43,43
1518902653,43,43
1518990735,42,42
1519075936,45,45
1519162576,45,45
1519249215,42,42
1519336569,47,47
1519422731,38,38
1519508899,36,36
1519595050,32,32
1519680735,35,35
1519767609,41,41
1519853777,39,39
1519939694,43,43
1520025378,47,47
1520114172,46,46
1520199606,45,45
1520285774,35,35
1520370735,43,43
1520460253,43,43
1520545449,41,41
1520630181,46,46
1520719697,48,48
1520805629,44,44
1520888457,38,38
1520977699,36,36
1521063622,37,37
1521149108,40,40
1521237618,46,46
1521323054,47,47
1521407766,42,42
1521496819,46,46
1521582010,47,47
1521666971,44,44
1521756023,47,47
1521841929,36,36
1521927618,35,35
1522012571,36,36
1522101852,39,39
1522187052,40,40
1522274419,41,41
1522360099,43,43
1522446973,46,46
1522532893,43,43
1522618335,45,45
1522703776,45,45
1522793295,36,36
1522877784,38,38
1522965829,35,35
1523052032,39,39
1523137210,38,38
1523221933,43,43
1523311229,48,48
1523396656,44,44
1523481854,46,46
1523567057,47,47
1523653454,44,44
1523742253,47,47
1523826746,46,46
1523915288,45,45
1524000010,46,46
1524089066,46,46
1524121219,0,0
1524171856,46,46
1524261371,46,46
1524346572,47,47
1524431783,46,46
1524521295,49,49
1524606502,48,48
1524692660,47,47
1524777853,47,47
1524863534,46,46
1524949235,47,47
1526573536,49,49
1526658486,49,49
1526744173,45,45
1526828887,39,39
1526917457,39,39
1527004338,42,42
1527090254,48,48
1527175932,46,46
1527261374,46,46
1527288498,0,0
1527294040,0,0
1527298593,0,0
1527302675,0,0
1527307713,0,0
1527311794,0,0
1527316113,0,0
1527320440,0,0
1527324754,0,0
1527329320,0,0
1527333874,0,0
1527338673,0,0
1527342990,0,0
1527347071,47,47
1527351396,0,0
1527355968,0,0
1527360512,0,0
1527364843,0,0
1527368676,0,0
1527373245,0,0
1527377793,0,0
1527381872,0,0
1527386192,0,0
1527390272,0,0
1527394591,0,0
1527398436,0,0
1527437052,41,41
1527522733,45,45
1527607455,48,48
1527696254,46,46
1527781211,45,45
1527865933,49,49
1527894506,0,0
1527958114,48,48
1527962914,0,0
1527967713,0,0
1527972272,0,0
1527976593,0,0
1527981396,0,0
1527985963,0,0
1527990753,0,0
1527995553,0,0
1528000358,0,0
1528004197,0,0
1528160170,49,49
1528218016,50,50
1528306575,47,47
1528318795,0,0
1528322770,0,0
1528330083,0,0
1528393211,47,47
1528478171,45,45
1528563370,42,42
1528652412,41,41
1528738197,48,48
1528823054,49,49
1528911611,49,49
